Mode, Bandwidth (MHz), Channels, Spectral resolution (kHz), Minimum integration time (ms), Max data rate at minimum integration time (MB\ :math:`^{-1}`)
1, 1500, 1024, 1465.00, 1, 32
2, 1500,    16384, 92.00,   2, 187  
3, 1080,    16384, 66.00,   4, 130  
4, 187.5,   32768,  5.70,  11,  52  
5, 187.5,   65536,  2.90,  22,  52  
6, 187.5,  131072,  1.40,  35,  69  
7, 100,     32768,  3.10,  12,  51  
8, 100,     65536,  1.50,  25,  51  
9, 100,    131072,  0.80,  40,  69  
10, 23.44,  32768,  0.70,  16,  93  
11, 23.44,  65536,  0.40,  33,  93  
12, 23.44, 131072,  0.20,  72,  75  
13, 23.44, 262144,  0.10, 134,  93  
14, 23.44, 524288,  0.04, 246, 125  
15, 11.72,  32768,  0.40,  27,  93  
16, 11.72,  65536,  0.20,  55,  93  
17, 11.72, 131072,  0.10, 123,  62  
18, 11.72, 262144,  0.04, 223,  93  
19, 11.72, 524288,  0.02, 447,  93  
20, 23.44,   4096,  5.70,   6,  12 
21, 23.44,   8192,  2.90,  12,  12 
22, 23.44,  16384,  1.40,  35,   8 
23, 23.44,  32768,  0.70,  51,  12 
24, 23.44,  65536,  0.40,  97,  13 
25, 16.9,    4096,  4.10,   8,   9 
26, 16.9,    8192,  2.10,  17,   9 
27, 16.9,   16384,  1.00,  47,   6 
28, 16.9,   32768,  0.51,  69,   9 
29, 16.9,   65536,  0.26, 132,  10 

